                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.56013,                0.31071,                0.84661,                0.90171,                0.77987,                0.86878,                0.63885,                0.81488,                0.38425,                 0.9411,              0.0056935,              0.0056935,              0.0056935
                     89,                0.57007,                0.31383,                 0.8496,                0.92273,                0.76674,                 0.8704,                0.63967,                0.81685,                 0.3813,                0.94299,               0.005644,               0.005644,               0.005644
                     90,                0.57067,                0.31126,                0.84998,                0.91933,                 0.7702,                0.87376,                0.63813,                0.82488,                0.38253,                0.94313,              0.0055945,              0.0055945,              0.0055945
                     91,                0.56151,                0.31176,                0.84835,                0.89003,                0.78752,                0.87187,                0.64141,                0.81848,                0.38731,                0.94215,               0.005545,               0.005545,               0.005545
                     92,                 0.5653,                0.31151,                0.84775,                 0.8986,                0.78426,                0.87097,                0.64173,                0.81647,                0.37995,                0.94076,              0.0054955,              0.0054955,              0.0054955
                     93,                0.55904,                0.30747,                0.84595,                0.89425,                 0.7856,                0.87043,                 0.6465,                0.80088,                0.37133,                 0.9362,               0.005446,               0.005446,               0.005446
                     94,                0.55399,                0.30389,                0.84395,                0.90871,                0.78041,                 0.8759,                0.64802,                0.79841,                0.37534,                 0.9324,              0.0053965,              0.0053965,              0.0053965
                     95,                0.55511,                0.30561,                0.84792,                0.89608,                0.79151,                0.87912,                0.64474,                0.81076,                0.37432,                0.93544,               0.005347,               0.005347,               0.005347
                     96,                0.55272,                0.30685,                0.84555,                0.89023,                0.79138,                0.87395,                0.64852,                0.80135,                0.37467,                0.93518,              0.0052975,              0.0052975,              0.0052975
                     97,                0.55038,                0.30657,                0.84524,                0.90236,                0.78528,                  0.873,                 0.6523,                0.80178,                0.37386,                0.93116,               0.005248,               0.005248,               0.005248
                     98,                0.54937,                0.30207,                0.84565,                0.89675,                0.78999,                0.87554,                0.65328,                 0.7926,                 0.3726,                0.92608,              0.0051985,              0.0051985,              0.0051985
                     99,                0.54947,                0.30291,                0.84516,                0.88809,                0.79467,                 0.8765,                 0.6548,                0.79608,                0.37309,                0.92863,               0.005149,               0.005149,               0.005149
                    100,                0.55809,                0.30879,                0.84852,                0.90037,                0.78057,                0.87213,                0.65237,                0.79463,                0.37536,                0.92846,              0.0050995,              0.0050995,              0.0050995
                    101,                0.54316,                0.30025,                0.84221,                0.90815,                0.77739,                0.87401,                0.65244,                0.79821,                0.37188,                0.92959,                0.00505,                0.00505,                0.00505
                    102,                0.54602,                0.29922,                0.84433,                0.88725,                0.79004,                  0.874,                0.64739,                0.80403,                0.37423,                0.92931,              0.0050005,              0.0050005,              0.0050005
                    103,                0.54283,                0.29981,                0.84289,                 0.9017,                0.79485,                0.87915,                 0.6556,                0.79297,                0.36865,                0.92641,               0.004951,               0.004951,               0.004951
                    104,                0.53942,                0.29743,                0.84253,                0.91008,                0.78442,                0.88121,                0.65209,                0.79351,                0.36939,                0.92631,              0.0049015,              0.0049015,              0.0049015
                    105,                0.54118,                0.29839,                0.84239,                0.89497,                0.78594,                0.87332,                0.64953,                 0.7845,                0.36587,                 0.9228,               0.004852,               0.004852,               0.004852
                    106,                0.54104,                0.29809,                0.84303,                0.89014,                0.79167,                0.87653,                0.65219,                0.78258,                0.36339,                0.92365,              0.0048025,              0.0048025,              0.0048025
                    107,                0.53557,                0.29578,                 0.8428,                0.90552,                0.78255,                0.87715,                0.65257,                0.78287,                0.36681,                0.92435,               0.004753,               0.004753,               0.004753
                    108,                0.53544,                0.29414,                0.84294,                0.88939,                0.78553,                0.87205,                0.65584,                0.78022,                0.36572,                0.92244,              0.0047035,              0.0047035,              0.0047035
                    109,                0.52341,                0.29121,                0.83798,                0.91641,                0.76759,                0.87453,                0.65959,                0.78341,                0.36259,                0.92308,               0.004654,               0.004654,               0.004654
                    110,                0.52744,                0.29429,                0.84143,                0.90091,                0.78494,                0.87482,                0.65821,                0.78241,                0.36234,                 0.9245,              0.0046045,              0.0046045,              0.0046045
                    111,                0.53258,                0.29289,                0.84189,                0.91071,                0.77732,                0.87389,                0.65663,                0.77833,                0.36369,                0.92322,               0.004555,               0.004555,               0.004555
                    112,                0.52142,                0.28672,                0.83713,                0.91971,                0.77034,                0.87603,                0.65718,                0.77668,                0.36388,                0.92135,              0.0045055,              0.0045055,              0.0045055
                    113,                0.51855,                0.28761,                0.83666,                0.92232,                0.77019,                0.88025,                0.65852,                0.77072,                0.36003,                0.91794,               0.004456,               0.004456,               0.004456
                    114,                0.51588,                0.28853,                0.83756,                0.90138,                0.79312,                0.87815,                0.66178,                0.78002,                0.35899,                0.92155,              0.0044065,              0.0044065,              0.0044065
                    115,                0.52601,                0.29065,                 0.8383,                0.89971,                0.79746,                0.87988,                0.66592,                0.76643,                0.35037,                 0.9154,               0.004357,               0.004357,               0.004357
                    116,                 0.5198,                0.28682,                0.83594,                0.91758,                0.77724,                0.87831,                0.65939,                0.76836,                0.35519,                0.91283,              0.0043075,              0.0043075,              0.0043075
                    117,                0.52344,                0.28926,                0.83755,                0.89832,                0.79738,                0.88053,                0.66807,                0.76455,                0.35839,                0.91152,               0.004258,               0.004258,               0.004258
